run_key,regime_label_exogenous,fold_id,seed,feature_set,feature_family,is_negative_control,selection_rule,selected_model_type,n_days,mean_daily_return,daily_volatility,volatility,sharpe,max_drawdown,turnover,hit_rate,excess_return_vs_benchmark,insufficient_days_for_sharpe
base_macro_gru__fold_12__seed999,unknown,fold_12,999,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,59,0.00015486396011623831,0.008490019723892548,0.13477488489271766,0.2895622428493037,-0.05174965025319889,9.271186440677965,0.4915254237288136,8.171540958338414e-05,False
base_macro_gru__fold_13__seed123,bull_high_vol,fold_13,123,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,1,0.005775188838819778,0.0,0.0,,0.0,,1.0,0.0018142369596125573,True
base_macro_gru__fold_13__seed123,bull_low_vol,fold_13,123,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,2,-0.009329424389696417,0.0067531830232977486,0.10720345702649493,,-0.016082607412994165,6.0,0.0,-0.000712929889654245,True
base_macro_gru__fold_13__seed123,unknown,fold_13,123,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,59,-0.00034585007836736314,0.009219640672755951,0.14635725838493088,-0.5954895623922742,-0.09618304522917542,12.576271186440678,0.4067796610169492,-0.0002196334472419409,False
base_macro_gru__fold_13__seed42,bull_high_vol,fold_13,42,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,1,0.004305099030838422,0.0,0.0,,0.0,,1.0,0.00034414715163120103,True
base_macro_gru__fold_13__seed42,bull_low_vol,fold_13,42,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,2,-0.013161254306489845,0.004076287355486596,0.06470905569032806,,-0.01723754166197644,1.0,0.0,-0.004544759806447673,True
base_macro_gru__fold_13__seed42,unknown,fold_13,42,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,59,-0.0010843648068150898,0.013041258568458714,0.20702356173259182,-1.319946043969464,-0.14570646858758907,11.033898305084746,0.3898305084745763,-0.0009581481756896676,False
base_macro_gru__fold_13__seed999,bull_high_vol,fold_13,999,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,1,0.0035826497001787416,0.0,0.0,,0.0,,1.0,-0.00037830217902847917,True
base_macro_gru__fold_13__seed999,bull_low_vol,fold_13,999,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,2,-0.00738184855571733,0.009392896940109141,0.14910761636393005,,-0.01677474549582647,0.0,0.5,0.0012346459443248422,True
base_macro_gru__fold_13__seed999,unknown,fold_13,999,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,59,-0.0005910866258230747,0.010674085445219288,0.16944585336662638,-0.879064472502178,-0.12240130267991622,9.338983050847459,0.4915254237288136,-0.00046486999469765234,False
base_macro_gru__fold_14__seed123,bear_high_vol,fold_14,123,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,5,0.0011965365585938858,0.01640897774676441,0.26048444632038975,,-0.03226508174069087,0.0,0.4,0.000344029483370608,True
base_macro_gru__fold_14__seed123,unknown,fold_14,123,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,59,-0.0009515947507498014,0.010364326949138972,0.16452858968391904,-1.4575088600081043,-0.12033594759745003,10.169491525423728,0.4745762711864407,-3.955497953145456e-06,False
base_macro_gru__fold_14__seed42,bear_high_vol,fold_14,42,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,best_model,5,0.00235668801357094,0.0174190577444069,0.2765189691886462,,-0.030450754895928522,5.875,0.4,0.001504180938347662,True
