regime,n_days,mean_return,volatility,sharpe,run_key,feature_set,fold_id,seed,regime_mean_return
1.0,17,0.0018904043913766132,0.004413865106462447,6.798857386381009,base_macro_exogenous_plus__fold_01__seed123,base_macro_exogenous_plus,fold_01,123,0.0018904043913766132
0.0,45,0.001273187474679443,0.011739176693599673,1.7216901244193972,base_macro_exogenous_plus__fold_01__seed999,base_macro_exogenous_plus,fold_01,999,0.001273187474679443
1.0,17,0.0022768166884835693,0.00444306391146427,8.134779321628832,base_macro_exogenous_plus__fold_01__seed999,base_macro_exogenous_plus,fold_01,999,0.0022768166884835693
0.0,3,-2.9731118922349253e-07,1.21242816336052e-06,-3.8927409925976435,base_macro_exogenous_plus__fold_02__seed42,base_macro_exogenous_plus,fold_02,42,-2.9731118922349253e-07
1.0,61,-1.2734051146441947e-06,3.180351492412457e-05,-0.635611490042679,base_macro_exogenous_plus__fold_02__seed42,base_macro_exogenous_plus,fold_02,42,-1.2734051146441947e-06
0.0,3,1.4314638001870309e-05,0.00027576845479542004,0.82401677789346,base_macro_exogenous_plus__fold_02__seed123,base_macro_exogenous_plus,fold_02,123,1.4314638001870309e-05
1.0,61,0.0004483590830133168,0.006144871584469488,1.1582796633618642,base_macro_exogenous_plus__fold_02__seed123,base_macro_exogenous_plus,fold_02,123,0.0004483590830133168
0.0,3,1.9465643206613887e-05,0.0002709108723809391,1.1406242336895842,base_macro_exogenous_plus__fold_02__seed999,base_macro_exogenous_plus,fold_02,999,1.9465643206613887e-05
1.0,61,8.37006872484347e-06,0.00619617528265233,0.021443990163857257,base_macro_exogenous_plus__fold_02__seed999,base_macro_exogenous_plus,fold_02,999,8.37006872484347e-06
1.0,62,0.0006448014083671371,0.00568401412014833,1.800823293717428,base_macro_exogenous_plus__fold_03__seed42,base_macro_exogenous_plus,fold_03,42,0.0006448014083671371
1.0,62,0.0007543634377507566,0.004888635225427847,2.4495892564046824,base_macro_exogenous_plus__fold_03__seed123,base_macro_exogenous_plus,fold_03,123,0.0007543634377507566
1.0,62,0.0006217440597260819,0.004694286165169985,2.1025307405058924,base_macro_exogenous_plus__fold_03__seed999,base_macro_exogenous_plus,fold_03,999,0.0006217440597260819
1.0,64,0.001368624113498796,0.004513323299089181,4.813799680658555,base_macro_exogenous_plus__fold_04__seed42,base_macro_exogenous_plus,fold_04,42,0.001368624113498796
1.0,64,0.0010930624103806883,0.003934152987501478,4.410562549846506,base_macro_exogenous_plus__fold_04__seed123,base_macro_exogenous_plus,fold_04,123,0.0010930624103806883
1.0,64,0.0008509352077678885,0.004795985332349215,2.8165594165570065,base_macro_exogenous_plus__fold_04__seed999,base_macro_exogenous_plus,fold_04,999,0.0008509352077678885
0.0,40,-0.0015705126088472964,0.017720023082750842,-1.4069459530036315,base_macro_exogenous_plus__fold_05__seed42,base_macro_exogenous_plus,fold_05,42,-0.0015705126088472964
1.0,21,0.0020573530330766734,0.0072327474733076555,4.515499404346853,base_macro_exogenous_plus__fold_05__seed42,base_macro_exogenous_plus,fold_05,42,0.0020573530330766734
0.0,40,-0.0017771739948762577,0.017975572832341174,-1.5694499877547532,base_macro_exogenous_plus__fold_05__seed123,base_macro_exogenous_plus,fold_05,123,-0.0017771739948762577
1.0,21,0.0026510251230819548,0.00584080966400425,7.205117370920183,base_macro_exogenous_plus__fold_05__seed123,base_macro_exogenous_plus,fold_05,123,0.0026510251230819548
0.0,40,-0.0014770584870183983,0.018189678501712044,-1.289059428350046,base_macro_exogenous_plus__fold_05__seed999,base_macro_exogenous_plus,fold_05,999,-0.0014770584870183983
1.0,21,0.0021039399529194014,0.0059950995982092645,5.571051954333229,base_macro_exogenous_plus__fold_05__seed999,base_macro_exogenous_plus,fold_05,999,0.0021039399529194014
1.0,64,0.0014912699400805758,0.005158014269567099,4.589591101829817,base_macro_exogenous_plus__fold_06__seed42,base_macro_exogenous_plus,fold_06,42,0.0014912699400805758
1.0,64,0.0012558837550405866,0.004239667846053385,4.702381713043537,base_macro_exogenous_plus__fold_06__seed123,base_macro_exogenous_plus,fold_06,123,0.0012558837550405866
1.0,64,0.0012362629360517345,0.004510595708497228,4.35088111894094,base_macro_exogenous_plus__fold_06__seed999,base_macro_exogenous_plus,fold_06,999,0.0012362629360517345
0.0,25,0.0024066528124968433,0.006574903072696407,5.8106452036222915,base_macro_exogenous_plus__fold_07__seed42,base_macro_exogenous_plus,fold_07,42,0.0024066528124968433
1.0,37,0.0008238265452710735,0.006793344290421696,1.925096155053364,base_macro_exogenous_plus__fold_07__seed42,base_macro_exogenous_plus,fold_07,42,0.0008238265452710735
0.0,25,0.0014718557412281496,0.007003900336694494,3.3359962905099088,base_macro_exogenous_plus__fold_07__seed123,base_macro_exogenous_plus,fold_07,123,0.0014718557412281496
1.0,37,0.0016560547760946268,0.008092787655244156,3.2484547587563863,base_macro_exogenous_plus__fold_07__seed123,base_macro_exogenous_plus,fold_07,123,0.0016560547760946268
0.0,25,0.0012963306515912177,0.008433986051906322,2.43996267002039,base_macro_exogenous_plus__fold_07__seed999,base_macro_exogenous_plus,fold_07,999,0.0012963306515912177
1.0,37,0.002319641011037546,0.007576102926529875,4.860435481672766,base_macro_exogenous_plus__fold_07__seed999,base_macro_exogenous_plus,fold_07,999,0.002319641011037546
0.0,8,0.0017371224677624614,0.013675553899004983,2.01644222113593,base_macro_exogenous_plus__fold_08__seed42,base_macro_exogenous_plus,fold_08,42,0.0017371224677624614
1.0,56,-0.0005543158959812452,0.008198917361592244,-1.0732504870019888,base_macro_exogenous_plus__fold_08__seed42,base_macro_exogenous_plus,fold_08,42,-0.0005543158959812452
0.0,8,0.002001129101241658,0.014805031238629007,2.145685419185881,base_macro_exogenous_plus__fold_08__seed123,base_macro_exogenous_plus,fold_08,123,0.002001129101241658
1.0,56,-0.0009146280919725849,0.008407572373043529,-1.7269278451161136,base_macro_exogenous_plus__fold_08__seed123,base_macro_exogenous_plus,fold_08,123,-0.0009146280919725849
0.0,8,0.0027319728068609106,0.013958836204965993,3.106901118149201,base_macro_exogenous_plus__fold_08__seed999,base_macro_exogenous_plus,fold_08,999,0.0027319728068609106
1.0,56,-0.00047822438932613217,0.007618842685349574,-0.9964212602596534,base_macro_exogenous_plus__fold_08__seed999,base_macro_exogenous_plus,fold_08,999,-0.00047822438932613217
0.0,39,-0.0068102675578253285,0.05272726934688638,-2.05035548508423,base_macro_exogenous_plus__fold_09__seed42,base_macro_exogenous_plus,fold_09,42,-0.0068102675578253285
1.0,24,-9.712069133576788e-05,0.009750261369693992,-0.15812326666346901,base_macro_exogenous_plus__fold_09__seed42,base_macro_exogenous_plus,fold_09,42,-9.712069133576788e-05
0.0,39,-0.0049754285636336775,0.0481273769045391,-1.6411133319963447,base_macro_exogenous_plus__fold_09__seed123,base_macro_exogenous_plus,fold_09,123,-0.0049754285636336775
1.0,24,0.0013309106216652794,0.007928471316987793,2.6647698261600135,base_macro_exogenous_plus__fold_09__seed123,base_macro_exogenous_plus,fold_09,123,0.0013309106216652794
0.0,39,-0.0056098092448584975,0.04902170495954712,-1.8166026877263164,base_macro_exogenous_plus__fold_09__seed999,base_macro_exogenous_plus,fold_09,999,-0.0056098092448584975
1.0,24,0.0012715193061518758,0.008607321795970265,2.3450666428228097,base_macro_exogenous_plus__fold_09__seed999,base_macro_exogenous_plus,fold_09,999,0.0012715193061518758
0.0,64,0.0009624618100708901,0.011655204793476101,1.3108828069344611,base_macro_exogenous_plus__fold_10__seed42,base_macro_exogenous_plus,fold_10,42,0.0009624618100708901
0.0,64,0.00026882159910676315,0.009765135438330892,0.43700475191817706,base_macro_exogenous_plus__fold_10__seed123,base_macro_exogenous_plus,fold_10,123,0.00026882159910676315
0.0,64,0.0008269695171200728,0.011348483743300192,1.1567830911803991,base_macro_exogenous_plus__fold_10__seed999,base_macro_exogenous_plus,fold_10,999,0.0008269695171200728
0.0,62,0.0019067795674675282,0.010549012497299,2.869385854930073,base_macro_exogenous_plus__fold_11__seed42,base_macro_exogenous_plus,fold_11,42,0.0019067795674675282
0.0,62,0.001454828039838929,0.011150714907130531,2.071138878090761,base_macro_exogenous_plus__fold_11__seed123,base_macro_exogenous_plus,fold_11,123,0.001454828039838929
0.0,62,0.0015586972901957344,0.009702804041373253,2.550144503487998,base_macro_exogenous_plus__fold_11__seed999,base_macro_exogenous_plus,fold_11,999,0.0015586972901957344
0.0,63,0.00013686181973099077,0.007494739679797087,0.2898851897130266,base_macro_exogenous_plus__fold_12__seed42,base_macro_exogenous_plus,fold_12,42,0.00013686181973099077
0.0,63,-0.00021530241202628357,0.007050394732741676,-0.4847699969891428,base_macro_exogenous_plus__fold_12__seed123,base_macro_exogenous_plus,fold_12,123,-0.00021530241202628357
0.0,63,-0.00012277071048246344,0.007588516255375011,-0.25682551683742044,base_macro_exogenous_plus__fold_12__seed999,base_macro_exogenous_plus,fold_12,999,-0.00012277071048246344
