run_key,model_name,feature_set,fold_id,seed,n_features,generalization_ratio,retention_ratio,selected_artifact_type,train_sharpe,train_return_pct,train_max_drawdown,train_turnover,validation_sharpe,validation_return_pct,validation_max_drawdown,validation_turnover,test_sharpe,test_return_pct,test_max_drawdown,test_turnover,regime,regime_mean_return,n_days,regime_sharpe,feature_family,is_negative_control,feature_set_description,selection_rule
base__fold_11__seed42,custom_custom,base,fold_11,42,9,4.638745694255588,0.8903586140318319,last_model,0.6610952105893073,218.18754556397363,-0.3713486966798777,0.2592592592592592,3.0666525616141405,15.315300164337131,-0.0749823672807734,11.306451612903226,2.730420524475933,9.74231101059495,-0.0534368176217247,11.475409836065571,0.0,0.0015406408832429,62,2.7083114923927303,technical_base,False,"Prices, returns, and baseline technical risk features.",checkpoint_generalization_score
base__fold_11__seed123,custom_custom,base,fold_11,123,9,3.4010483757693275,0.7863830542960154,checkpoint,0.8326231105200211,349.1589149375302,-0.3944456045735192,0.2222222222222222,2.831791477662123,14.138402822714212,-0.0780796436844886,9.67741935483871,2.226872831333367,7.985775428425224,-0.0451382188847536,9.836065573770492,0.0,0.0012816951452131,62,2.20884117561154,technical_base,False,"Prices, returns, and baseline technical risk features.",checkpoint_generalization_score
base__fold_11__seed999,custom_custom,base,fold_11,999,9,4.774164769681694,0.7115017949253285,best_model,0.6764080743147055,222.52896427151185,-0.3656843152889991,0.1851851851851851,3.2292835983215045,16.02714465862276,-0.0813538689381052,8.064516129032258,2.297641076528674,8.502916910119618,-0.0530887488437692,8.19672131147541,0.0,0.0013613245153594,62,2.279036389147631,technical_base,False,"Prices, returns, and baseline technical risk features.",checkpoint_generalization_score
base__fold_12__seed42,custom_custom,base,fold_12,42,9,2.3212069593612035,0.1795482577344754,best_model,0.9535054675787694,439.1630376002777,-0.3475440156241238,0.2479631597591215,2.213283527132798,6.155127653294401,-0.0381830620697516,11.11111111111111,0.3973912011691085,0.952115817175314,-0.0338264610713674,11.290322580645162,0.0,0.0001748866430661,63,0.3942246869515875,technical_base,False,"Prices, returns, and baseline technical risk features.",checkpoint_generalization_score
base__fold_12__seed123,custom_custom,base,fold_12,123,9,2.786707631273293,0.0141152846918037,checkpoint,0.902069451290068,464.50352348264346,-0.340023024024771,0.2139567835635848,2.5138038238485443,7.309790268010374,-0.0414204967147088,10.65079365079365,0.0354830566329671,-0.0754061492382107,-0.0403574956353758,10.838709677419354,0.0,1.6996731744230626e-05,63,0.035200318608122,technical_base,False,"Prices, returns, and baseline technical risk features.",checkpoint_generalization_score
base__fold_12__seed999,custom_custom,base,fold_12,999,9,2.856715218417857,0.28569119883014,checkpoint,0.7758034495259245,309.76245846601483,-0.3351276158642283,0.2125398512221041,2.2162495207617785,6.571946558522401,-0.0503099294344177,9.523809523809524,0.6331629824931557,1.766154388520036,-0.0563558572964288,9.67741935483871,0.0,0.000307644247385,63,0.6281177787237363,technical_base,False,"Prices, returns, and baseline technical risk features.",checkpoint_generalization_score
base__fold_13__seed42,custom_custom,base,fold_13,42,9,3.442790214610818,-0.189927264952464,checkpoint,1.1468284795602548,725.591644552129,-0.3187916999881839,0.4654471544715447,3.948289867267048,13.716265682252128,-0.0340479745581645,12.903225806451612,-0.7498878957295577,-3.984889469366415,-0.1188349305327449,13.049180327868852,0.0,-0.0005803623775154,62,-0.7438158290288898,technical_base,False,"Prices, returns, and baseline technical risk features.",checkpoint_generalization_score
base__fold_13__seed123,custom_custom,base,fold_13,123,9,3.748225953478669,-0.1256230527259663,best_model,0.9794382872190814,540.3026762474393,-0.3783641318919286,0.6073848238482384,3.671156007985256,12.80649196535264,-0.0508279519728348,14.951612903225806,-0.4611818247563799,-2.2109092732292,-0.088378411785896,15.844262295081966,0.0,-0.0003053445148877,62,-0.4574474975095958,technical_base,False,"Prices, returns, and baseline technical risk features.",checkpoint_generalization_score
base__fold_13__seed999,custom_custom,base,fold_13,999,9,2.9004292965204246,-0.0732755783898387,best_model,1.0348352146330184,602.4661727989259,-0.2966751006343084,0.2032520325203252,3.001466373592608,10.695413280354304,-0.0511858903005607,9.67741935483871,-0.2199341845426501,-1.5499220172195294,-0.0869560502384504,9.836065573770492,0.0,-0.0001735207959447,62,-0.2181533116336392,technical_base,False,"Prices, returns, and baseline technical risk features.",checkpoint_generalization_score
base__fold_14__seed42,custom_custom,base,fold_14,42,9,-1.3381298205887149,0.916946115058034,checkpoint,0.8599559605876456,366.4230744456792,-0.2992573703805282,0.5328348504551366,-1.150732715255342,-5.445812510652937,-0.1313977014771327,9.080645161290322,-1.0551598927235686,-4.649674248763624,-0.118194222914176,11.26984126984127,0.0,-0.000689671784446,64,-1.0468840010835578,technical_base,False,"Prices, returns, and baseline technical risk features.",checkpoint_generalization_score
base__fold_14__seed123,custom_custom,base,fold_14,123,9,-0.9269376910494496,1.4270693625968387,checkpoint,0.968923927108927,492.9952291377874,-0.3163290151081991,0.130039011703511,-0.898132107796914,-5.536190518936179,-0.1200676634188956,6.451612903225806,-1.281696814601497,-5.688813957515126,-0.1297262412144336,6.365079365079365,0.0,-0.0008579988493068,64,-1.271644135357208,technical_base,False,"Prices, returns, and baseline technical risk features.",checkpoint_generalization_score
base__fold_14__seed999,custom_custom,base,fold_14,999,9,-2.0845257638147148,0.317222747029544,best_model,0.7994297122550967,385.0449722365093,-0.4147453667564883,0.2438231469440832,-1.6664318315547333,-9.233394202641287,-0.1405156839451123,12.096774193548388,-0.5286300833432669,-2.9306480758239277,-0.1477786631271045,11.904761904761903,0.0,-0.0003943699408461,64,-0.5244839010276121,technical_base,False,"Prices, returns, and baseline technical risk features.",checkpoint_generalization_score
base_macro__fold_01__seed42,custom_custom,base_macro,fold_01,42,12,3.3160801575674514,1.1941459226160684,best_model,0.9052027918679276,98.75339966538576,-0.1572354080125682,0.3830673143650243,3.001725016687894,9.99902339517591,-0.0346340307270538,8.870967741935484,3.584497689492499,11.72878245295028,-0.0502774424423871,9.01639344262295,0.0,0.0017287070075393,45,2.922835285952865,macro_context,False,Baseline technical features plus macro context.,checkpoint_generalization_score
base_macro__fold_01__seed123,custom_custom,base_macro,fold_01,123,12,2.8236052798891,0.671181934033085,checkpoint,0.7835168790400507,88.59893306968483,-0.1776892571890248,0.6606523247744622,2.212342396539716,8.297987931205132,-0.0376385478647909,12.096774193548388,1.484884248452917,5.719900281565038,-0.0656684538036124,12.295081967213116,0.0,0.0006336031477567,45,0.8561628230304522,macro_context,False,Baseline technical features plus macro context.,checkpoint_generalization_score
base_macro__fold_01__seed999,custom_custom,base_macro,fold_01,999,12,2.443512196098512,1.003609458823779,checkpoint,0.851902370567312,100.14112910418883,-0.1708606861436551,0.3469812630117974,2.0816338323664603,7.67075122142411,-0.0424694325833511,8.064516129032258,2.089147403970572,7.691703835917263,-0.0547980898720456,8.19672131147541,0.0,0.0012783477863679,45,1.8391441618789337,macro_context,False,Baseline technical features plus macro context.,checkpoint_generalization_score
base_macro__fold_02__seed42,custom_custom,base_macro,fold_02,42,12,0.5197864180452457,2.7047742512776427,checkpoint,0.9055484848360098,118.07224240632772,-0.1585371719985876,0.7348242811501597,0.470691803299209,1.3270348950166877,-0.0505324590221105,14.90625,1.2731150698511415,2.810922236671587,-0.0265063179282262,14.476190476190476,0.0,-7.13013052856537e-05,3,-2.366521463591376,macro_context,False,Baseline technical features plus macro context.,checkpoint_generalization_score
